year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2010,Toyota,Venza,Base,Wagon,automatic,4t3za3bb5au037255,ca,8,72930,blue,tan,toyota financial services,13550,4500
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee7dp143368,ca,15,48744,White,gray,fox rent a car tra,10600,9500
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5dh682009,ca,12,48510,white,tan,hertz/tra,11350,6500
2012,Kia,Optima,SX,Sedan,automatic,5xxgr4a61cg029248,ca,6,47220,blue,black,kia motors finance,16750,12900
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh320214,ca,20,42798,gray,gray,fox rent a car tra,11100,7600
2011,Audi,A4,2.0T Premium,Sedan,automatic,wauefafl6bn041490,ca,4,42301,gray,black,vw credit,16650,14100
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4aexdh317398,ca,10,41710,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,11150,7700
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh385955,ca,4,36957,red,beige,enterprise vehicle exchange / tra / rental / tulsa,11400,9400
2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee5dp216754,ca,21,34915,black,gray,enterprise vehicle exchange / tra / rental / tulsa,11400,9200
2013,Toyota,Avalon,Limited,Sedan,automatic,4t1bk1eb6du056909,ca,25,34549,silver,black,enterprise vehicle exchange / tra / rental / tulsa,23200,15500
2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep0dc231309,ca,28,33985,black,black,remarketing by ge/manheim southern california,13700,8000
2012,Kia,Soul,Base,Wagon,automatic,kndjt2a5xc7430888,ca,6,27086,black,black,kia motors finance,10150,3600
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh388614,ca,13,25960,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,12100,8800
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4aexdh303629,ca,8,24120,brown,beige,hyundai motor finance,11950,5200
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g11x5sl1e9285950,ca,14,21587,white,gray,hertz damaged liquidation,16400,7200
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e31e9248986,ca,27,20595,red,gray,enterprise vehicle exchange / tra / rental / tulsa,20800,13600
2014,Chevrolet,Malibu,LTZ,Sedan,automatic,1g11h5sl7ef225787,ca,24,20545,gray,black,enterprise vehicle exchange / tra / rental / tulsa,16000,12000
2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag5eh126888,ca,11,19062,gray,black,enterprise vehicle exchange / tra / rental / tulsa,18100,15700
2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sb5e7331055,ca,16,17607,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14850,11300
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4fn310470,ca,10,12752,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14600,9500
2013,Kia,Soul,Base,Wagon,manual,kndjt2a54d7539154,ca,22,11699,silver,black,kia motors finance,11400,6900
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb3e7406616,ca,19,10673,red,black,enterprise vehicle exchange / tra / rental / tulsa,14150,3300
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s38e9310535,ca,8,8195,red,black,enterprise vehicle exchange / tra / rental / tulsa,21600,14000
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh565969,ca,15,7879,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,10500
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae0fh574105,ca,12,6759,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,5800
2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11d5sl6fu106427,ca,9,6105,silver,black,enterprise vehicle exchange / tra / rental / tulsa,16600,9800
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn326013,ca,7,5554,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15350,10900
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,ca,13,4314,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500,11500
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xfr151689,ca,25,4205,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700,12000
2010,BMW,3 Series,328i,Sedan,automatic,wbaph5g50anm35849,ca,2,75681,white,black,exeter finance corp,12100,13100
2011,Kia,Sorento,Base,SUV,automatic,5xykt3a18bg001886,ca,2,74774,blue,gray,sst financial,10450,8000
2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f3xaa176069,ca,2,71443,silver,black,jpmorgan chase bank n.a.,9325,10000
2011,Dodge,Charger,Base,Sedan,automatic,2b3cl3cg9bh509325,ca,2,71171,gray,black,tycon enterprises,12150,12250
2011,Kia,Forte,Koup EX,Koup,automatic,knafu6a24b5431266,ca,2,68988,black,black,kia motors finance,8150,5600
2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc6c7329580,ca,2,62216,white,black,the hertz corporation/gm,9125,10000
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc2c7369996,ca,2,61869,silver,gray,the hertz corporation/gm,8750,8100
2013,Kia,Soul,+,Wagon,manual,kndjt2a64d7494239,ca,2,59886,black,black,hyundai motor finance,10200,7000
2012,Ford,Taurus,SE,Sedan,automatic,1fahp2dw5cg120127,ca,2,56916,white,tan,enterprise vehicle exchange / tra / rental / tulsa,11800,10200
2012,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee5cp043025,ca,2,55703,White,gray,the hertz corporation,9675,8500
2009,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa51e99c829319,ca,2,54197,black,black,jpmorgan chase bank n.a.,12100,10700
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7ch381093,ca,2,53284,gray,gray,hyundai motor finance,10600,8000
2010,Nissan,Altima,3.5 SR,Sedan,automatic,1n4bl2apxan509451,ca,2,53207,black,black,jpmorgan chase bank n.a.,11300,9600
2010,Hyundai,Accent,Blue,Hatchback,manual,kmhcm3ac9au176983,ca,2,52373,white,gray,lincoln financial services,3575,3600
2010,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f47aa191346,ca,2,47601,gray,black,ahfc/honda lease trust/hvt  inc.,10350,10300
2013,Kia,Rio,LX,Sedan,automatic,knadm4a3xd6113380,ca,2,45800,black,beige,kia motors finance,8550,3850
2011,Toyota,Camry,Base,Sedan,automatic,4t4bf3ek9br206711,ca,2,45353,gray,gray,remarketing by ge/flagship credit acceptance,11250,9250
2012,Hyundai,Tucson,Limited,SUV,automatic,km8ju3ac7cu342721,ca,2,44645,black,gray,hyundai motor finance,14450,12000
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh722331,ca,2,44135,gray,gray,fox rent a car tra,11650,8400
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap3dl864636,ca,2,41426,gray,black,hertz/tra,9450,4000
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek2br150756,ca,2,40794,gray,gray,wells fargo dealer services,11300,10300
2012,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac7cu328432,ca,2,40716,blue,gray,hyundai motor finance,14200,10100
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dc903319,ca,2,38766,black,black,enterprise vehicle exchange / tra / rental / tulsa,12850,12100
2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0ch065420,ca,2,37504,black,beige,hyundai motor finance,10250,7100
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5dh342001,ca,2,37436,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,11400,8800
2012,Honda,Pilot,EX,SUV,automatic,5fnyf3h43cb016418,ca,2,36828,blue,gray,ahfc/honda lease trust/hvt  inc. eot,20200,17200
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae4du422188,ca,2,35828,gold,beige,enterprise vehicle exchange / tra / rental / tulsa,9600,6700
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2dh375957,ca,2,35824,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,11500,8700
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2dh745910,ca,2,35518,red,beige,enterprise vehicle exchange / tra / rental / tulsa,12200,10700
2013,Toyota,Corolla,L,Sedan,automatic,5yfbu4ee0dp204771,ca,2,35516,silver,gray,fox rent a car tra,11250,8200
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae9du436426,ca,2,34136,black,beige,enterprise vehicle exchange / tra / rental / tulsa,9700,8100
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh345708,ca,2,33158,gray,beige,enterprise vehicle exchange / tra / rental / tulsa,11650,9400
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6du523099,ca,2,33078,white,beige,enterprise vehicle exchange / tra / rental / tulsa,9675,7800
2013,Toyota,Camry,L,Sedan,automatic,4t1bf1fk4du283826,ca,2,31300,silver,black,enterprise vehicle exchange / tra / rental / tulsa,13350,11200
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh327127,ca,2,29006,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,11900,8700
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7128460,ca,2,28617,black,black,enterprise vehicle exchange / tra / rental / tulsa,11900,9800
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cn432632,ca,2,27826,white,gray,nissan-infiniti lt,12850,11000
2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep5cc226976,ca,2,26390,blue,beige,nissan motor acceptance corporation,13900,10200
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae8dh345667,ca,2,25442,gold,beige,enterprise vehicle exchange / tra / rental / tulsa,12150,6700
2013,Kia,Optima,EX,Sedan,automatic,5xxgn4a7xdg106558,ca,2,24614,burgundy,beige,kia motors finance,16200,10600
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg6er390452,ca,2,24313,red,black,enterprise vehicle exchange / tra / rental / tulsa,16450,12700
2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl9ef208031,ca,2,24142,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,15050,13100
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg2er262130,ca,2,20000,gray,black,enterprise holdings/gdp,16900,15250
2012,Kia,Forte,SX,Sedan,automatic,knafw4a3xc5550402,ca,2,18518,black,black,remarketing by ge/southern california financial,11650,10250
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg5eh315291,ca,2,14875,gray,black,enterprise vehicle exchange / tra / rental / tulsa,16550,14200
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc124223,ca,2,11398,black,black,enterprise vehicle exchange / tra / rental / tulsa,14750,14100
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh566023,ca,2,10551,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,10600
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8e7420706,ca,2,8154,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14150,10000
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae8fh565992,ca,2,7800,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,9000
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s35e9311464,ca,2,6663,black,black,enterprise vehicle exchange / tra / rental / tulsa,20500,13000
2014,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhg2eh267515,ca,2,5962,gray,black,hertz/tra,22100,8000
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0hdxfr145753,ca,2,5559,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350,12000
2013,Kia,Rio,LX,Hatchback,automatic,knadm5a38d6292461,ca,2,4850,red,black,kia motors finance,10650,6300
2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb5ba437677,ca,3,75939,gray,black,the hertz corporation,22400,19400
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f21cl196273,ca,3,64750,red,black,remarketing by ge/chase lease remarketing co,8150,8500
2012,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e36c1321527,ca,3,64637,white,gray,the hertz corporation/gm,9475,8900
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc6c7307355,ca,3,61852,blue,black,the hertz corporation/gm,8500,10000
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e08cf357599,ca,3,60405,silver,black,the hertz corporation/gm,9475,8500
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e36c1319037,ca,3,59156,black,gray,the hertz corporation/gm,9175,7900
2011,Dodge,Charger,Base,Sedan,automatic,2b3cl3cg0bh567484,ca,3,58165,orange,black,tradewinds remarketing,12850,14900
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc2c7335329,ca,3,57595,blue,black,the hertz corporation/gm,9000,9200
2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc6c7268604,ca,3,57479,silver,black,the hertz corporation/gm,9275,9300
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc2c7382909,ca,3,57128,white,gray,the hertz corporation/gm,8750,10100
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be9ca782589,ca,3,54184,gray,black,the hertz corporation,29200,28500
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc1c7371061,ca,3,53040,blue,black,the hertz corporation/gm,9000,10200
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zd5e03cf357118,ca,3,53009,white,black,the hertz corporation/gm,9575,10800
2012,Honda,Civic,EX,Coupe,automatic,2hgfg3b89ch515431,ca,3,44830,blue,gray,barber honda,10700,10750
2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k26cl423057,ca,3,44674,white,black,enterprise fm exchange/tra/lease,9475,4000
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn453999,ca,3,43615,white,gray,nissan-infiniti lt,11850,10000
2012,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg7cl197008,ca,3,42701,red,black,the hertz corporation,23300,22500
2013,Nissan,Murano,SV,SUV,automatic,jn8az1mw6dw316475,ca,3,41841,gray,black,the hertz corporation,16900,16700
2013,Toyota,Highlander,Limited,SUV,automatic,5tdyk3eh7ds099402,ca,3,39900,white,black,toyota financial services,28300,28000
2013,Kia,Soul,+,Wagon,automatic,kndjt2a68d7570612,ca,3,39476,black,black,dollar thrifty damage liquidation,11400,6000
2013,Kia,Rio,LX,Sedan,automatic,knadm4a31d6173631,ca,3,37213,red,gray,enterprise veh exchange/rental,8725,9500
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1dh733036,ca,3,37060,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,12350,10100
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er262784,ca,3,28653,white,black,enterprise holdings/gdp,16400,15250
2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg8et178821,ca,3,28641,gray,black,hertz corporation/gdp,16750,15000
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbgxeh192166,ca,3,28113,white,black,hertz corporation/gdp,15600,16600
2012,Ford,Focus,Titanium,Hatchback,automatic,1fahp3n21cl330426,ca,3,26747,red,black,remarketing by ge/chase lease remarketing co,12900,14000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcgxer263526,ca,3,26199,White,black,enterprise holdings/gdp,29400,15800
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er262501,ca,3,26146,White,black,enterprise holdings/gdp,16450,16000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8er291700,ca,3,25500,white,black,enterprise holdings/gdp,16500,16200
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg2er264122,ca,3,25496,white,black,enterprise holdings/gdp,16600,15500
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn403384,ca,3,24185,black,black,california republic bank,14500,12900
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er262496,ca,3,23871,White,black,enterprise holdings/gdp,16600,15900
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er264071,ca,3,23490,black,black,enterprise holdings/gdp,16650,15000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg3er264016,ca,3,23468,White,black,enterprise holdings/gdp,16700,15750
